,,
Volcano Name,Latitude,Longitude
"Cochons, Ile aux",-46.1,50.23
Prince Edward Island,-46.63,37.95
Marion Island,-46.9,37.75
Kaikohe-Bay of Islands,-35.3,173.9
Whangarei,-35.75,174.27
Auckland Volcanic Field,-36.9,174.87
Mayor Island,-37.28,176.25
Taranaki,-39.3,174.07
White Island,-37.52,177.18
Okataina,-38.12,176.5
Reporoa,-38.42,176.33
Maroa,-38.42,176.08
Taupo,-38.82,176
Tongariro,-39.157,175.632
Ruapehu,-39.28,175.57
Clark,-36.446,177.839
Tangaroa,-36.321,178.028
Rumble V,-36.142,178.196
Rumble IV,-36.13,178.05
Rumble III,-35.745,178.478
Rumble II West,-35.353,178.527
Healy,-35.004,178.973
Brothers,-34.875,179.075
Wright,-31.85,-179.18
Havre Seamount,-31.08,-179.033
Curtis Island,-30.543,-178.556
Macauley,-30.21,-178.475
Giggenbach,-30.036,-178.712
Raoul Island,-29.27,-177.92
Monowai,-25.887,-177.188
Unnamed,-24.8,-177.02
Unnamed,-21.338,-175.65
Unnamed,-21.15,-175.75
Unnamed,-20.852,-175.55
Hunga Tonga-Hunga Ha'apai,-20.536,-175.382
Fonuafo'ou,-20.32,-175.42
Tofua,-19.75,-175.07
Kao,-19.668,-175.016
Lateiki,-19.18,-174.87
Home Reef,-18.992,-174.775
Late,-18.806,-174.65
Unnamed,-18.325,-174.365
Fonualei,-18.023,-174.317
Tafahi,-15.85,-173.72
Curacoa,-15.62,-173.67
Niuafo'ou,-15.6,-175.63
Dugong,-15.431,-175.725
Lobster,-15.333,-176.283
Tafu-Maka,-15.37,-174.23
West Mata,-15.1,-173.75
Niuatahi,-15.379,-174.003
Vailulu'u,-14.215,-169.058
Ta'u,-14.23,-169.454
Ofu-Olosega,-14.175,-169.618
Tutuila,-14.295,-170.7
Upolu,-13.935,-171.72
Savai'i,-13.612,-172.525
Wallis Islands,-13.3,-176.17
Taveuni,-16.82,-179.97
Koro,-17.32,179.4
Nabukelevu,-19.12,177.98
St. Andrew Strait,-2.38,147.35
Baluan,-2.57,147.28
Central Bismarck Sea,-3.03,147.78
Blup Blup,-3.507,144.605
Kadovar,-3.608,144.588
Bam,-3.613,144.818
Boisa,-3.994,144.963
Manam,-4.08,145.037
Karkar,-4.649,145.964
Hankow Reef,-4.883,146.717
Long Island,-5.358,147.12
Umboi,-5.589,147.875
Ritter Island,-5.519,148.115
Sakar,-5.414,148.094
Langila,-5.525,148.42
Mundua,-4.624,149.339
Garove,-4.687,149.511
Dakataua,-5.094,150.094
Bola,-5.141,150.038
Garua Harbour,-5.3,150.07
Krummel-Garbuna-Welcker,-5.416,150.027
Lolo,-5.466,150.509
Witori,-5.576,150.516
Sulu Range,-5.5,150.942
Hargy,-5.33,151.1
Bamus,-5.2,151.23
Ulawun,-5.05,151.33
Lolobau,-4.92,151.158
Rabaul,-4.271,152.203
Tavui,-4.12,152.2
Koranga,-7.33,146.708
Madilogo,-9.2,147.57
Lamington,-8.95,148.15
Hydrographers Range,-9,148.37
Managlase Plateau,-9.08,148.33
Victory,-9.2,149.07
Sessagara,-9.48,149.13
Waiowa,-9.57,149.075
Goodenough,-9.48,150.35
Iamalele,-9.52,150.53
Dawson Strait Group,-9.62,150.88
Lihir,-3.125,152.642
Ambitle,-4.08,153.65
Tore,-5.835,154.935
Balbi,-5.92,154.98
Billy Mitchell,-6.092,155.225
Bagana,-6.137,155.196
Takuan Group,-6.442,155.608
Loloru,-6.52,155.62
Simbo,-8.292,156.52
